Piece,Artist/Conductor ID,Vector
Dvorak_StringQuartet12_1,Cleveland,0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.001 0.001 0.002 0.002 0.003 0.004 0.004 0.004 0.004 0.006 0.005 0.005 0.007 0.006 0.005 0.004 0.005 0.010 0.009 0.007 0.010 0.014 0.013 0.014 0.015 0.014 0.013 0.012 0.012 0.011 0.011 0.011 0.012 0.011 0.010 0.009 0.009 0.009 0.007 0.008 0.007 0.007 0.012 0.016 0.013 0.027 0.031 0.032 0.030 0.030 0.017 0.013 0.016 0.015 0.013 0.015 0.013 0.017 0.016 0.013 0.014 0.016 0.015 0.011 0.014 0.014 0.015 0.017 0.018 0.016 0.021 0.024 0.028 0.056 0.028 0.019 0.017 0.016 0.016 0.017 0.016 0.015 0.014 0.015 0.014 0.015 0.015 0.016 0.017 0.016 0.018 0.017 0.016 0.015 0.015 0.019 0.018 0.018 0.016 0.017 0.019 0.020 0.020 0.020 0.015 0.021 0.024 0.021 0.020 0.023 0.019 0.017 0.018 0.020 0.019 0.020 0.023 0.026 0.020 0.022 0.030 0.025 0.018 0.024 0.019 0.024 0.017 0.014 0.017 0.020 0.022 0.024 0.021 0.019 0.015 0.020 0.034 0.017 0.012 0.012 0.018 0.016 0.014 0.013 0.019 0.020 0.021 0.025 0.032 0.024 0.031 0.014 0.011 0.010 0.009 0.010 0.013 0.019 0.022 0.023 0.030 0.029 0.039 0.036 0.028 0.026 0.020 0.016 0.021 0.026 0.024 0.026 0.017 0.019 0.019 0.019 0.020 0.016 0.014 0.015 0.031 0.029 0.030 0.031 0.028 0.026 0.029 0.031 0.025 0.018 0.023 0.039 0.029 0.031 0.065 0.057 0.070 0.061 0.060 0.035 0.033 0.069
Dvorak_StringQuartet12_1,Emerson,0.000 0.000 0.000 0.000 0.000 0.001 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.003 0.002 0.003 0.002 0.002 0.004 0.003 0.004 0.006 0.006 0.005 0.005 0.004 0.004 0.003 0.003 0.003 0.003 0.004 0.003 0.004 0.003 0.003 0.003 0.003 0.003 0.003 0.003 0.006 0.011 0.015 0.010 0.014 0.020 0.014 0.018 0.012 0.014 0.013 0.012 0.012 0.011 0.010 0.008 0.015 0.010 0.008 0.008 0.010 0.007 0.008 0.007 0.007 0.008 0.006 0.011 0.011 0.012 0.016 0.011 0.031 0.014 0.011 0.010 0.011 0.011 0.015 0.009 0.009 0.007 0.005 0.005 0.009 0.011 0.010 0.009 0.011 0.012 0.009 0.008 0.009 0.006 0.008 0.014 0.011 0.013 0.010 0.014 0.017 0.011 0.010 0.006 0.005 0.013 0.016 0.014 0.013 0.016 0.012 0.010 0.010 0.008 0.012 0.011 0.013 0.014 0.021 0.021 0.022 0.015 0.014 0.010 0.010 0.018 0.012 0.010 0.014 0.009 0.008 0.008 0.008 0.009 0.008 0.008 0.011 0.011 0.009 0.010 0.011 0.008 0.009 0.009 0.011 0.015 0.016 0.018 0.022 0.025 0.024 0.018 0.011 0.009 0.009 0.010 0.012 0.009 0.018 0.013 0.014 0.015 0.013 0.021 0.017 0.017 0.015 0.009 0.011 0.025 0.022 0.023 0.013 0.011 0.012 0.016 0.012 0.009 0.015 0.031 0.028 0.024 0.019 0.016 0.024 0.023 0.026 0.019 0.030 0.049 0.031 0.019 0.017 0.023 0.024 0.030 0.034 0.026 0.023 0.029 0.030 0.027
Dvorak_StringQuartet12_1,NY,0.000 0.001 0.001 0.000 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.002 0.002 0.002 0.002 0.003 0.003 0.005 0.004 0.008 0.006 0.004 0.004 0.005 0.011 0.003 0.007 0.006 0.004 0.006 0.009 0.009 0.005 0.007 0.012 0.023 0.018 0.013 0.020 0.026 0.027 0.022 0.018 0.019 0.019 0.022 0.019 0.021 0.022 0.023 0.024 0.021 0.021 0.020 0.020 0.018 0.019 0.018 0.016 0.018 0.015 0.023 0.032 0.028 0.062 0.046 0.051 0.057 0.081 0.045 0.041 0.051 0.039 0.046 0.043 0.033 0.025 0.029 0.030 0.032 0.030 0.037 0.066 0.032 0.039 0.033 0.038 0.035 0.059 0.034 0.035 0.041 0.029 0.033 0.051 0.042 0.034 0.044 0.034 0.043 0.040 0.028 0.051 0.030 0.052 0.073 0.061 0.047 0.083 0.072 0.087 0.057 0.054 0.048 0.072 0.044 0.032 0.022 0.022 0.043 0.066 0.070 0.079 0.069 0.064 0.040 0.048 0.062 0.027 0.019 0.019 0.063 0.060 0.052 0.043 0.060 0.061 0.044 0.038 0.038 0.046 0.037 0.042 0.041 0.053 0.034 0.032 0.041 0.049 0.049 0.055 0.043 0.040 0.033 0.030 0.027 0.033 0.035 0.029 0.031 0.036 0.029 0.026 0.016 0.014 0.020 0.014 0.013 0.017 0.015 0.019 0.023 0.014 0.024 0.038 0.033 0.038 0.019 0.019 0.030 0.029 0.022 0.021 0.020 0.025 0.042 0.043 0.031 0.024 0.026 0.023 0.018 0.017 0.055 0.031 0.022 0.030 0.017 0.015 0.054 0.037 0.024 0.022 0.035 0.026 0.032 0.054 0.036 0.033 0.025 0.048 0.060 0.062
Tchaikovsky_NutcrackerSuite_1,Alphen,0.001 0.002 0.004 0.006 0.010 0.008 0.009 0.005 0.007 0.007 0.006 0.007 0.004 0.011 0.013 0.013 0.008 0.005 0.008 0.007 0.004 0.004 0.005 0.008 0.007 0.005 0.006 0.006 0.005 0.004 0.004 0.003 0.004 0.009 0.009 0.009 0.009 0.006 0.006 0.003 0.003 0.003 0.004 0.007 0.004 0.003 0.002 0.003 0.004 0.002 0.002 0.002 0.007 0.011 0.010 0.008 0.007 0.007 0.006 0.004 0.004 0.003 0.011 0.009 0.006 0.004 0.004 0.006 0.003 0.004 0.003 0.008 0.012 0.005 0.007 0.005 0.008 0.006 0.006 0.006 0.005 0.015 0.011 0.007 0.008 0.011 0.013 0.018 0.019 0.019 0.021 0.025 0.017 0.012 0.010 0.006 0.014 0.019 0.019 0.018 0.018 0.018 0.014 0.010 0.008 0.010 0.018 0.029 0.022 0.022 0.023 0.032 0.025 0.015 0.013 0.015 0.042 0.033 0.019 0.022 0.017 0.012 0.012 0.007 0.005 0.003 0.002 0.001 0.001 0.001 0.000 0.000 0.000 0.000 0.000 0.001 0.000 0.000 0.000 0.000 0.000 0.001 0.000 0.000 0.000 0.001 0.000 0.000 0.000 0.001 0.001 0.000 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.002 0.002 0.002 0.002 0.001 0.001 0.002 0.002 0.002 0.002 0.001 0.003 0.003 0.003 0.002 0.003 0.002 0.002 0.003 0.002 0.002 0.004 0.003 0.002 0.005 0.005 0.004 0.003 0.003 0.002 0.003 0.002 0.002 0.003 0.002 0.002 0.004 0.005 0.005 0.005 0.004
Tchaikovsky_NutcrackerSuite_1,Ormandy,0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.002 0.023 0.023 0.012 0.008 0.005 0.009 0.019 0.017 0.011 0.010 0.023 0.025 0.017 0.012 0.018 0.017 0.023 0.033 0.020 0.017 0.016 0.009 0.026 0.030 0.026 0.023 0.015 0.013 0.021 0.012 0.013 0.016 0.018 0.018 0.032 0.035 0.027 0.023 0.020 0.028 0.018 0.012 0.007 0.005 0.007 0.027 0.019 0.010 0.007 0.004 0.016 0.017 0.016 0.010 0.013 0.024 0.023 0.013 0.016 0.015 0.018 0.029 0.033 0.018 0.064 0.045 0.038 0.029
Tchaikovsky_NutcrackerSuite_1,Rostropovich,0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.001 0.001 0.001 0.001 0.001 0.001 0.002 0.001 0.001 0.001 0.002 0.002 0.001 0.001 0.003 0.001 0.002 0.001 0.001 0.003 0.002 0.002 0.003 0.003 0.002 0.001 0.001 0.002 0.001 0.002 0.002 0.001 0.003 0.003 0.003 0.002 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.002 0.002 0.001 0.001 0.002 0.002 0.001 0.002 0.001 0.002 0.002 0.001 0.002 0.003 0.001 0.003 0.002 0.003 0.005 0.003 0.002 0.002 0.002 0.002 0.001 0.002 0.001 0.001 0.001 0.001 0.002 0.001 0.001 0.002 0.001 0.001 0.001 0.002 0.001 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.003 0.002 0.002 0.002 0.002 0.002 0.001 0.001 0.002 0.001 0.002 0.002 0.002 0.002 0.002 0.002 0.003 0.002 0.002 0.003 0.002 0.003 0.002 0.003 0.002 0.002 0.004 0.004 0.004 0.003 0.002 0.002 0.001 0.002 0.004 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.004 0.005 0.004 0.003 0.002 0.002 0.002 0.002 0.003 0.002 0.002 0.002 0.002 0.002 0.002 0.003 0.003 0.002 0.003 0.002 0.002 0.002 0.002 0.003 0.002 0.002 0.001 0.002 0.002 0.003 0.002 0.001 0.001 0.001 0.003 0.002 0.002 0.001 0.002 0.004 0.002 0.002 0.002
Mozart_Symphony40_1,Bernstein,0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
Mozart_Symphony40_1,Klemperer,0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.001 0.001 0.003 0.003 0.002 0.002 0.001 0.001 0.001 0.001 0.001 0.001 0.002 0.002 0.004 0.003 0.004 0.005 0.003 0.004 0.005 0.006 0.005 0.007 0.007 0.005 0.004 0.005 0.007 0.007 0.006 0.009 0.010 0.006 0.006 0.006 0.005 0.004 0.003 0.003 0.002 0.004 0.005 0.009 0.006 0.005 0.006 0.005 0.004 0.005 0.005 0.005 0.004 0.005 0.004 0.004 0.004 0.006 0.005 0.008 0.010 0.012 0.009 0.008 0.011 0.007 0.004 0.002 0.004 0.003 0.004 0.005 0.011 0.008 0.009 0.007 0.008 0.005 0.007 0.016 0.010 0.009 0.011 0.013 0.007 0.007 0.023 0.012 0.013 0.012 0.012 0.009 0.009 0.008 0.005 0.005 0.004 0.004 0.004 0.006 0.006 0.006 0.006 0.006 0.006 0.006 0.009 0.006 0.006 0.005 0.005 0.004 0.004 0.005 0.007 0.012 0.007 0.007 0.009 0.008 0.008 0.005 0.005 0.005 0.003 0.003 0.002 0.003 0.005 0.008 0.006 0.007 0.010 0.009 0.010 0.009 0.010 0.010 0.011 0.013 0.014 0.014 0.016 0.018 0.012 0.011 0.013 0.012 0.011 0.010 0.009 0.006 0.007 0.006 0.007 0.008 0.008 0.010 0.010 0.011 0.013 0.013 0.011 0.013 0.013 0.019 0.010 0.010 0.014 0.011 0.013 0.013 0.015 0.010 0.011 0.015 0.014 0.012 0.015 0.018 0.015 0.014 0.012 0.012 0.011 0.010
Mozart_Symphony40_1,Salemkour,0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.000 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.000 0.001 0.000 0.001 0.001 0.001 0.000 0.000 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.000 0.000 0.001 0.001 0.001 0.001 0.001 0.000 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.002 0.003 0.002 0.003 0.004 0.004 0.005 0.007 0.007 0.007 0.009 0.008 0.008 0.011 0.011 0.009 0.010 0.011 0.011 0.012 0.013 0.013 0.012 0.013 0.012 0.014 0.014 0.014 0.015 0.015 0.013 0.015 0.014 0.014 0.013 0.014 0.014 0.015 0.016 0.015 0.013 0.015 0.014 0.015 0.014 0.016 0.014 0.015 0.016 0.015 0.016 0.015 0.015 0.015 0.014 0.016 0.015 0.014 0.014 0.015 0.014 0.016 0.016 0.015 0.016 0.014 0.017 0.014 0.015 0.015 0.015 0.015 0.015 0.016 0.015 0.014 0.014 0.015 0.015 0.016 0.017 0.016 0.016 0.016 0.016 0.015 0.017 0.015 0.016 0.014 0.016 0.016 0.016 0.015 0.016 0.016 0.016 0.014 0.014 0.014 0.013 0.014 0.014 0.015 0.015 0.013 0.014 0.013 0.014 0.015 0.014 0.013 0.016 0.016 0.014 0.014 0.015 0.014 0.013 0.015 0.015 0.014 0.014 0.015 0.015 0.015 0.015 0.014 0.015 0.014 0.013 0.014 0.014 0.014
Prokofiev_PianoConcerto1_1,Argerich,0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.001 0.001 0.001 0.002 0.002 0.002 0.005 0.005 0.004 0.006 0.010 0.008 0.008 0.010 0.015 0.013 0.013 0.019 0.028 0.020 0.021 0.028 0.027 0.027 0.030 0.042 0.028 0.031 0.039 0.042 0.036 0.036 0.050 0.034 0.036 0.048 0.051 0.035 0.035 0.048 0.039 0.036 0.039 0.053 0.041 0.037 0.055 0.045 0.037 0.038 0.046 0.039 0.037 0.051 0.048 0.042 0.042 0.054 0.044 0.043 0.045 0.048 0.041 0.046 0.050 0.047 0.040 0.039 0.054 0.043 0.041 0.055 0.051 0.041 0.045 0.047 0.037 0.046 0.059 0.042 0.047 0.043 0.061 0.044 0.045 0.061 0.047 0.045 0.046 0.046 0.043 0.041 0.061 0.043 0.044 0.050 0.042 0.039 0.048 0.054 0.044 0.043 0.059 0.049 0.044 0.045 0.062 0.047 0.046 0.053 0.045 0.048 0.046 0.058 0.048 0.050 0.057 0.058 0.050 0.050 0.065 0.047 0.051 0.052 0.047 0.045 0.053 0.050 0.051 0.048 0.052 0.052 0.048 0.051 0.045 0.044 0.051 0.055 0.048 0.041 0.054 0.054 0.044 0.059 0.054 0.047 0.046 0.056 0.054 0.043 0.059 0.054 0.041 0.044 0.061 0.048 0.043 0.050 0.059 0.055 0.044 0.058 0.053 0.047 0.058 0.064 0.046 0.050 0.053 0.059 0.043 0.054 0.048 0.053 0.051 0.042 0.051 0.043 0.047 0.038 0.037 0.050 0.041 0.041 0.040 0.040 0.033 0.033 0.038 0.034 0.030 0.035 0.032 0.033 0.030 0.027 0.028 0.026 0.026 0.028 0.026 0.024 0.024 0.028 0.024 0.021 0.021 0.025
